id,name,tier,collection,outfit_block
043,Fax & Facts '95,2,retro,"boxy 90s double-breasted suit in taupe, loud geometric tie, pager on belt"
044,Typewriter Tycoon,2,retro,"1950s style: white short-sleeve dress shirt, thin black tie, high-waist slacks, pencil behind ear"
045,Wall Street '87,2,retro,"bold 80s power suit with strong shoulders, contrast-collar striped shirt, red braces"
046,Dot-Com Y2K,3,retro,"metallic silver zip jacket over graphic tee, translucent visor, chunky white sneakers, CD-shine accents"
047,Gatsby Gains,3,retro,"1920s art-deco tuxedo with gold geometric trim, slicked hair, cane"
048,The Negotiator,3,retro,"1940s noir: long overcoat, fedora, loosened tie, dramatic shadow styling"
049,Profit Fever,3,retro,"disco-era white three-piece with wide flares, gold shirt, mirrored sunglasses"
050,Steam Baron,3,retro,"victorian industrialist: brocade waistcoat, pocket-watch chain, top hat, brass goggles"
051,Keynote,2,tech,"plain black mock-neck, faded blue jeans, grey new-balance-style sneakers, thin-rim glasses"
052,Move Fast,2,tech,"plain grey tee, black zip hoodie draped, dark jeans, simple sneakers"
053,Server Room,2,tech,"company-branded fleece vest over checked shirt, lanyard with badge, laptop under arm"
054,Augmented,2,tech,"smart-casual bomber with subtle circuit pattern, AR glasses with orange lens glint"
055,Prototype,3,tech,"white lab coat with glowing seam lines over navy jumpsuit, tablet in hand"
056,Orbit,3,tech,"sleek space-age jacket with high collar, silver accents, magnetic boots"
057,Neon Founder,3,tech,"dark jacket with animated-look neon-orange piping, glowing shoulder tabs, cyber sneakers"
058,Circuit Blazer,3,tech,"midnight blazer whose pinstripes are faint glowing circuit traces, dark shirt"
059,Hologram,4,tech,"translucent iridescent overcoat with light-refraction edges over minimalist black fit"
060,Mech Mode,4,tech,"lightweight exo-frame shoulder and arm pieces in brushed steel over navy flight suit, orange power core"
061,Milano Sartoria,3,world,"soft-shouldered italian suit in petrol blue, open collar, loafers no socks, sunglasses in pocket"
062,Ginza Minimal,3,world,"japanese-minimalist charcoal suit with band collar, asymmetric lapel, clean lines"
063,Seoul Avant,3,world,"oversized-silhouette black suit with cinched waist, statement brooch, layered shirt"
064,Madison Ave,3,world,"sharp american power suit in steel grey, bold orange tie, skyscraper confidence"
065,Mumbai Bandhgala,3,world,"modern bandhgala jacket in deep teal with subtle jacquard, tailored trousers"
066,Savile Row,4,world,"impeccable british three-piece in birdseye navy, club tie, polished oxfords, furled umbrella"
067,Paris Atelier,4,world,"haute-couture tuxedo with sculptural lapel, silk scarf, artistic drape"
068,Shanghai Modern,4,world,"mandarin-collar midnight suit with fine gold frog-button detail, silk pocket square"
069,Lagos Agbada,4,world,"contemporary agbada-inspired flowing formal robe in royal blue with geometric embroidery over tailored set"
070,Dubai Gold Line,4,world,"pristine white suit with fine gold pinstripe and gold-trim cuffs, desert-sun sunglasses"
071,Line Cook,1,industry,"white chef jacket with rolled sleeves, apron, checkered pants, side towel"
072,On Call,1,industry,"teal medical scrubs, stethoscope, ID badge, comfy clogs"
073,Captain,1,industry,"airline pilot uniform with epaulettes and cap, aviator sunglasses"
074,Grease & Gears,1,industry,"navy mechanic coveralls with orange name patch, rag in pocket, wrench"
075,Barista Craft,1,industry,"denim apron over rolled henley, latte-art cup in hand, canvas sneakers"
076,Last Mile,1,industry,"courier windbreaker, cap, crossbody delivery bag, cargo shorts, fast shoes"
077,Site Boss,1,industry,"hi-vis orange vest over flannel, white hard hat, rolled blueprints"
078,Shop Floor,1,industry,"retail vest with pins over polo, name tag, khakis, handheld scanner"
079,Executive Chef,3,industry,"black chef jacket with gold buttons and embroidery, tall toque, plated dish in hand"
080,Chief of Surgery,3,industry,"prestige navy scrubs with gold trim, surgical cap, confident crossed arms"
081,Commencement,3,seasonal,"graduation gown and cap with orange tassel, diploma scroll"
082,Offsite Linen,3,seasonal,"breezy cream linen shirt and trousers, straw panama hat, boat shoes"
083,Fortune Founder,4,seasonal,"lunar-new-year red suit with gold cloud embroidery, gold ingot cufflinks"
084,Snowline Gala,4,seasonal,"midnight-blue velvet tuxedo with frost-crystal lapel pin, white scarf"
085,Vampire VC,4,seasonal,"halloween: high-collared black cape with crimson lining over victorian suit, tiny fangs in grin"
086,Confetti Closer,4,seasonal,"new-year sequined blazer in gunmetal, party horn, ""happy new fiscal year"" sash"
087,Founding Day,4,seasonal,"anniversary parade look: navy suit with orange grand-opening ribbon sash and oversized scissors"
088,Midnight NYE,4,seasonal,"glittering black-and-gold suit, champagne-gold bow tie, sparkler in hand"
089,Lantern Festival,4,seasonal,"flowing modern hanfu-inspired formal set in ink blue with glowing lantern accessory"
090,Beach Board Meeting,4,seasonal,"suit jacket, tie and swim shorts combo, flip flops, laptop bag and cocktail umbrella drink"
091,The Gold Standard,5,legendary,"entire suit in polished liquid gold with mirror sheen, gold tie, gold shoes"
092,Diamond Hands,5,legendary,"crystalline suit refracting rainbow light, faceted gem-like texture, ice-blue glow"
093,The Apex,5,legendary,"shark-inspired steel-grey suit with fin-shaped shoulder details, tooth-pattern tie, subtle gill pinstripes"
094,Midas Touch,5,legendary,"half-transformed look: classic navy suit turning to gold from the fingertips up one arm"
095,Astro Founder,5,legendary,"white spacesuit tailored like a business suit, gold visor helmet under arm, mission patches shaped like company logos"
096,The Chairman,5,legendary,"royal deep-purple suit with ermine-trimmed short cape, subtle gold laurel pin"
097,Phoenix Clause,5,legendary,"charcoal suit with living ember gradients at the hems, faint rising-flame wisps"
098,Ghost Equity,5,legendary,"spectral translucent suit in pale cyan, softly glowing edges, semi-transparent body"
099,Prism Legacy,5,legendary,"iridescent color-shifting suit that reads as different hues across the body, holographic tie"
100,The Magnate,5,legendary,"black suit with gold-thread pinstripes, floor-length black overcoat worn like a cape, gold watch chain, tiny gold trophy in hand"
101,Perennial,4,milestone_only,"evergreen laurel-pattern suit in deep forest green with subtle gold laurel-leaf embroidery, gold laurel lapel pin"
